"ID,Age,Gender,Social_Standing,Wealth_Level,Education_Level,Family_Connections,Attractiveness,Health,Personality_Traits,Number_of_Suitors,Arranged_Marriage_Likelihood,Love_Match_Likelihood,Court_Presence,Dance_Skills,Reputation,Marital_Status,Siblings_Marital_Status,Parents_Marital_Status,Dowry_Size,Land_Ownership,Political_Influence,Religious_Devotion,Artistic_Talents,Eligible_Age,Pregnancy_Status,Scandal_Involvement,Will_Marry"
"1,22,Female,Upper,High,College,Strong,8,7,Charming,5,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,18,No,None,Yes"
"2,30,Male,Middle,Medium,High School,Moderate,5,8,Reserved,2,Low,High,No,Good,Average,Single,Single,Married,Medium,No,Low,Moderate,Music,25,No,Minor,Yes"
"3,28,Female,Lower,Low,High School,Weak,6,5,Outgoing,4,Medium,Low,No,Average,Average,Single,Married,Divorced,Small,No,Very Low,High,Drawing,20,No,None,No"
"4,25,Female,Upper,High,College,Strong,7,6,Charismatic,7,High,High,Yes,Excellent,Good,Single,Single,Married,Large,Yes,High,Very High,Dancing,20,No,None,Yes"
"5,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Sculpting,25,N/A,Major,Yes"
"6,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Painting,18,No,None,Yes"
"7,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Music,28,N/A,None,No"
"8,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"9,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"10,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"11,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"12,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"13,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"14,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"15,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"16,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"17,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"18,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"19,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"20,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"21,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"22,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"23,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"24,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"25,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"26,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"27,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"28,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"29,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"30,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"31,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"32,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"33,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"34,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"35,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"36,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"37,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"38,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"39,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"40,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"41,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"42,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"43,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"44,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"45,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"46,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"47,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"48,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"49,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"50,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"51,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"52,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"53,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"54,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"55,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"56,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"57,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"58,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"59,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"60,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"61,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"62,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"63,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"64,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"65,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"66,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"67,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"68,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"69,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"70,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"71,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"72,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"73,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"74,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"75,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"76,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"77,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"78,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"79,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"80,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"81,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"82,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"83,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"84,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"85,35,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"86,26,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"87,31,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"88,24,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"89,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"90,32,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"91,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"92,23,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
"93,34,Male,Upper,Very High,College,Strong,4,9,Serious,1,Very Low,Very Low,Yes,Poor,Excellent,Married,Married,Married,Huge,Yes,Very High,High,Music,25,N/A,Major,Yes"
"94,28,Female,Middle,Medium,College,Moderate,6,7,Charming,5,High,Medium,No,Good,Good,Single,Married,Married,Medium,Yes,Moderate,High,Dancing,18,No,None,Yes"
"95,26,Male,Lower,Low,High School,Weak,3,8,Introverted,0,None,None,No,Poor,Average,Single,Single,Divorced,Small,No,Low,Very Low,Sculpting,28,N/A,None,No"
"96,30,Female,Middle,Medium,College,Moderate,8,6,Outgoing,6,High,High,Yes,Good,Excellent,Single,Single,Married,Medium,No,Moderate,Moderate,Drawing,20,No,None,Yes"
"97,27,Female,Upper,High,College,Strong,7,8,Charismatic,8,High,High,Yes,Excellent,Good,Single,Married,Married,Large,Yes,High,High,Dancing,20,No,None,Yes"
"98,31,Male,Middle,Medium,High School,Moderate,5,9,Reserved,2,Low,High,No,Average,Average,Single,Single,Married,Medium,No,Moderate,High,Sculpting,25,N/A,Minor,Yes"
"99,29,Female,Lower,Low,High School,Weak,6,6,Outgoing,4,Medium,Low,No,Poor,Good,Single,Single,Divorced,Small,No,Very Low,Moderate,Drawing,18,No,None,No"
"100,22,Female,Upper,High,College,Strong,8,7,Charming,7,High,Medium,Yes,Excellent,Good,Single,Married,Married,Large,Yes,Moderate,High,Painting,20,No,None,Yes"
